 normalised_and_exponentially_binned_(co)spectra
 -----------------------------------------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]_->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 10.000
measuring_height_(z-d)_[m]_=_  1.600
wind_speed_[m+1s-1]_=_  0.603
averaging_interval_[min]_=_     30
number_of_bins_=_  50
tapering_window_=_hamming
 #_freq,natural_frequency,normalized_frequency,f_nat*spec(u)/var(u),f_nat*spec(v)/var(v),f_nat*spec(w)/var(w),f_nat*spec(ts)/var(ts),f_nat*spec(co2)/var(co2),f_nat*spec(h2o)/var(h2o),f_nat*spec(ch4)/var(ch4),f_nat*spec(none)/var(none),f_nat*cospec(w_u)/cov(w_u),f_nat*cospec(w_v)/cov(w_v),f_nat*cospec(w_ts)/cov(w_ts),f_nat*cospec(w_co2)/cov(w_co2),f_nat*cospec(w_h2o)/cov(w_h2o),f_nat*cospec(w_ch4)/cov(w_ch4),f_nat*cospec(w_none)/cov(w_none)
1,6.1035156250000000E-004,1.6193210188163185E-003,5.4120018649136449E-004,3.1775696354778699E-003,5.1614260748134855E-003,9.4392986651840066E-002,-9999.0,-9999.0,-9999.0,-9999.0,2.9374336205527027E-003,-4.2920846386657288E-002,-1.2280552912695902E-002,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,1.2207031250000000E-003,3.2386420376326369E-003,1.2636010880109983E-003,4.9230669971989036E-003,1.4850007005082820E-002,3.7355629272321764E-002,-9999.0,-9999.0,-9999.0,-9999.0,7.3377343821835316E-003,-9.1850408367917524E-002,-0.14518085796312336,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,1.8310546875000000E-003,4.8579630564489556E-003,4.5995151711548449E-004,5.8540260094116026E-003,2.8766959046804181E-003,0.20533499214590961,-9999.0,-9999.0,-9999.0,-9999.0,-6.1090683443292340E-004,-1.8983835632297122E-002,-0.14313718906404535,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,2.4414062500000000E-003,6.4772840752652739E-003,1.8435291840168502E-003,3.1097141885055822E-003,6.1197670987953653E-004,0.17567543634997632,-9999.0,-9999.0,-9999.0,-9999.0,1.9222561114495217E-003,-2.1845246845633246E-003,-6.6885036299877951E-002,-9999.0,-9999.0,-9999.0,-9999.0
1,3.0517578125000000E-003,8.0966050940815930E-003,2.9601841189222437E-002,1.0115416753029229E-003,1.3257233568269492E-002,0.14681694978986767,-9999.0,-9999.0,-9999.0,-9999.0,3.5359272016672147E-002,1.7160681368066831E-002,-0.30306081781049743,-9999.0,-9999.0,-9999.0,-9999.0
