 normalised_and_exponentially_binned_(co)spectra
 -----------------------------------------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]_->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 10.000
measuring_height_(z-d)_[m]_=_  1.600
wind_speed_[m+1s-1]_=_  0.699
averaging_interval_[min]_=_     30
number_of_bins_=_  50
tapering_window_=_hamming
 #_freq,natural_frequency,normalized_frequency,f_nat*spec(u)/var(u),f_nat*spec(v)/var(v),f_nat*spec(w)/var(w),f_nat*spec(ts)/var(ts),f_nat*spec(co2)/var(co2),f_nat*spec(h2o)/var(h2o),f_nat*spec(ch4)/var(ch4),f_nat*spec(none)/var(none),f_nat*cospec(w_u)/cov(w_u),f_nat*cospec(w_v)/cov(w_v),f_nat*cospec(w_ts)/cov(w_ts),f_nat*cospec(w_co2)/cov(w_co2),f_nat*cospec(w_h2o)/cov(w_h2o),f_nat*cospec(w_ch4)/cov(w_ch4),f_nat*cospec(w_none)/cov(w_none)
1,6.1035156250000000E-004,1.3978305649425438E-003,2.5600298629900589E-003,1.4245174490481382E-003,3.3609325389058464E-004,0.17737854502531944,-9999.0,-9999.0,-9999.0,-9999.0,7.2663396772271053E-003,-3.6961635104608849E-002,-6.9406404816741540E-002,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,1.2207031250000000E-003,2.7956611298850876E-003,3.7087466336069908E-003,2.8010609538555841E-003,7.1021487380970518E-004,2.9459224211117480E-003,-9999.0,-9999.0,-9999.0,-9999.0,1.3036860300073345E-002,9.7554162023506377E-002,-1.3370352374322197E-002,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,1.8310546875000000E-003,4.1934916948276318E-003,2.1968036591130955E-003,9.5631566330406804E-003,2.3563402575749169E-003,6.7340690670166209E-002,-9999.0,-9999.0,-9999.0,-9999.0,1.5746346860668867E-002,0.33800584050081195,-8.1193353162562612E-002,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,2.4414062500000000E-003,5.5913222597701751E-003,1.1973747694956393E-003,1.0603559372790537E-002,1.9243178033128421E-003,8.0772448467742314E-002,-9999.0,-9999.0,-9999.0,-9999.0,-1.0506164574816214E-002,-0.53068622447077352,-4.8967715054957053E-004,-9999.0,-9999.0,-9999.0,-9999.0
1,3.0517578125000000E-003,6.9891528247127193E-003,3.0542994258729529E-004,1.7226791583105212E-002,1.3323896016642571E-002,4.3445798091823785E-002,-9999.0,-9999.0,-9999.0,-9999.0,-1.1912544784605574E-002,-0.80519575080116801,-9.2311163716750341E-002,-9999.0,-9999.0,-9999.0,-9999.0
1,3.6621093750000000E-003,8.3869833896552635E-003,9.2698689832838551E-004,1.6204531740573498E-004,2.1384086753889621E-002,3.6005538738746283E-002,-9999.0,-9999.0,-9999.0,-9999.0,2.9405859969187029E-002,-0.13355426743712440,9.2439216120292822E-002,-9999.0,-9999.0,-9999.0,-9999.0
2,4.5776367187500000E-003,1.0483729237069079E-002,9.6492261839925039E-003,1.0341108549799752E-003,4.4400039173134323E-003,5.4140869061848944E-002,-9999.0,-9999.0,-9999.0,-9999.0,1.2813578799475768E-002,0.28819354196924990,6.9093070911819696E-002,-9999.0,-9999.0,-9999.0,-9999.0
