 normalised_and_exponentially_binned_(co)spectra
 -----------------------------------------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]_->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 10.000
measuring_height_(z-d)_[m]_=_  1.600
wind_speed_[m+1s-1]_=_  1.312
averaging_interval_[min]_=_     30
number_of_bins_=_  50
tapering_window_=_hamming
 #_freq,natural_frequency,normalized_frequency,f_nat*spec(u)/var(u),f_nat*spec(v)/var(v),f_nat*spec(w)/var(w),f_nat*spec(ts)/var(ts),f_nat*spec(co2)/var(co2),f_nat*spec(h2o)/var(h2o),f_nat*spec(ch4)/var(ch4),f_nat*spec(none)/var(none),f_nat*cospec(w_u)/cov(w_u),f_nat*cospec(w_v)/cov(w_v),f_nat*cospec(w_ts)/cov(w_ts),f_nat*cospec(w_co2)/cov(w_co2),f_nat*cospec(w_h2o)/cov(w_h2o),f_nat*cospec(w_ch4)/cov(w_ch4),f_nat*cospec(w_none)/cov(w_none)
1,6.1035156250000000E-004,7.4443285029960357E-004,6.8263636723136492E-004,3.9368413969132314E-003,1.3721837836128116E-005,0.17882658757063485,-9999.0,-9999.0,-9999.0,-9999.0,2.0860592383424768E-004,-2.2060651934052099E-003,-1.8941017128287047E-003,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,1.2207031250000000E-003,1.4888657005992071E-003,7.7984266393400900E-004,4.1662313717966172E-003,2.6909385166380530E-003,5.2477271420922180E-003,-9999.0,-9999.0,-9999.0,-9999.0,-3.9223564841830523E-003,-7.3656887109055536E-003,4.3002397750894580E-002,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,1.8310546875000000E-003,2.2332985508988108E-003,4.7206701613324159E-003,1.8837965428256321E-002,8.3816854255450799E-003,0.12406725567380715,-9999.0,-9999.0,-9999.0,-9999.0,2.0048424192140816E-002,-0.10036103459629182,-0.50852050840217689,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,2.4414062500000000E-003,2.9777314011984143E-003,1.2369842809359627E-002,2.3269066650230024E-002,4.8094235581845135E-003,0.11376882974655150,-9999.0,-9999.0,-9999.0,-9999.0,3.9895715790798425E-002,-0.10767889747109306,-0.27479477659138635,-9999.0,-9999.0,-9999.0,-9999.0
1,3.0517578125000000E-003,3.7221642514980178E-003,2.0232770537644745E-002,1.8329142902890522E-002,2.0790234131285893E-004,8.0165556757710199E-002,-9999.0,-9999.0,-9999.0,-9999.0,-3.1835610596379687E-003,-3.1595924342059370E-003,-4.3405894235908744E-002,-9999.0,-9999.0,-9999.0,-9999.0
1,3.6621093750000000E-003,4.4665971017976216E-003,8.2930902073585430E-003,2.6758427050811641E-002,1.1318021504734110E-002,1.7620307590114199E-002,-9999.0,-9999.0,-9999.0,-9999.0,-5.3044388389931606E-002,0.16041812688732948,0.21760246532520874,-9999.0,-9999.0,-9999.0,-9999.0
2,4.5776367187500000E-003,5.5832463772470271E-003,7.8973000268398822E-003,1.6511062225806821E-002,4.2629713107211900E-003,3.6525376044775619E-002,-9999.0,-9999.0,-9999.0,-9999.0,1.7077447250554937E-002,5.8230886760075283E-002,-4.8398114110388551E-002,-9999.0,-9999.0,-9999.0,-9999.0
1,5.4931640625000000E-003,6.6998956526964325E-003,1.5672116157573954E-002,1.3401081226906038E-002,6.7373809588365079E-003,6.6020676408950155E-003,-9999.0,-9999.0,-9999.0,-9999.0,-5.4644029930174670E-002,-8.5141967302341581E-002,1.4832719015006124E-003,-9999.0,-9999.0,-9999.0,-9999.0
2,6.4086914062500000E-003,7.8165449281458379E-003,1.4175867359206496E-002,4.8781730050323066E-003,2.6055324840964785E-002,3.7279413398674931E-002,-9999.0,-9999.0,-9999.0,-9999.0,5.4255175944441604E-002,6.9495501963226874E-002,0.25866975136086456,-9999.0,-9999.0,-9999.0,-9999.0
2,7.6293945312500000E-003,9.3054106287450439E-003,2.5678250092761715E-002,4.6201835387094180E-002,5.6479371951048598E-003,2.6467994369926893E-002,-9999.0,-9999.0,-9999.0,-9999.0,-5.1242663753916062E-002,-6.2661499202081125E-002,-0.13609277115869042,-9999.0,-9999.0,-9999.0,-9999.0
