 normalised_and_exponentially_binned_(co)spectra
 -----------------------------------------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]_->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 10.000
measuring_height_(z-d)_[m]_=_  1.600
wind_speed_[m+1s-1]_=_  0.705
averaging_interval_[min]_=_     30
number_of_bins_=_  50
tapering_window_=_hamming
 #_freq,natural_frequency,normalized_frequency,f_nat*spec(u)/var(u),f_nat*spec(v)/var(v),f_nat*spec(w)/var(w),f_nat*spec(ts)/var(ts),f_nat*spec(co2)/var(co2),f_nat*spec(h2o)/var(h2o),f_nat*spec(ch4)/var(ch4),f_nat*spec(none)/var(none),f_nat*cospec(w_u)/cov(w_u),f_nat*cospec(w_v)/cov(w_v),f_nat*cospec(w_ts)/cov(w_ts),f_nat*cospec(w_co2)/cov(w_co2),f_nat*cospec(w_h2o)/cov(w_h2o),f_nat*cospec(w_ch4)/cov(w_ch4),f_nat*cospec(w_none)/cov(w_none)
1,6.1035156250000000E-004,1.3857256593401922E-003,6.2684861227793099E-005,4.2938309467368543E-004,1.6378277298236918E-004,0.12306986724108972,-9999.0,-9999.0,-9999.0,-9999.0,-5.0645838880378582E-004,1.4645122011018739E-003,-0.26005596890881783,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,1.2207031250000000E-003,2.7714513186803845E-003,2.5356460907239179E-003,2.0169475837216503E-003,6.9595729776310820E-004,2.1275427230528637E-002,-9999.0,-9999.0,-9999.0,-9999.0,1.0364791640445187E-003,-9.1544966674141619E-003,5.6731355123098216E-002,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,1.8310546875000000E-003,4.1571769780205763E-003,4.4215147761591722E-003,7.1232139561686189E-003,1.7179305258477376E-003,5.5106639515261173E-003,-9999.0,-9999.0,-9999.0,-9999.0,-4.1227525351357512E-003,-9.5881920315923300E-003,-5.1656514562373808E-002,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,2.4414062500000000E-003,5.5429026373607689E-003,1.2237589967008576E-002,7.9687612333363758E-003,3.8125552479225718E-003,4.7300538933789443E-003,-9999.0,-9999.0,-9999.0,-9999.0,-3.2446496233865432E-002,-3.7753227882550207E-002,0.23926321368570574,-9999.0,-9999.0,-9999.0,-9999.0
1,3.0517578125000000E-003,6.9286282967009607E-003,1.4668763003332936E-002,1.7955525635225417E-002,3.5039007094216229E-003,4.7880297673183565E-003,-9999.0,-9999.0,-9999.0,-9999.0,-3.5775225612898261E-002,-5.8466725674725190E-002,0.33207153811941587,-9999.0,-9999.0,-9999.0,-9999.0
1,3.6621093750000000E-003,8.3143539560411525E-003,3.8376037425573604E-003,7.1599735853098700E-005,1.7001457736607613E-002,7.1590034250390237E-003,-9999.0,-9999.0,-9999.0,-9999.0,-3.9661078250679535E-002,4.0155276471237214E-003,0.67610538799833642,-9999.0,-9999.0,-9999.0,-9999.0
2,4.5776367187500000E-003,1.0392942445051441E-002,1.6092392093704649E-002,4.0466063285207007E-002,1.6813996654993248E-002,6.3797785864748140E-003,-9999.0,-9999.0,-9999.0,-9999.0,2.0717611625130056E-002,0.13427832079106858,-0.23712235814303120,-9999.0,-9999.0,-9999.0,-9999.0
1,5.4931640625000000E-003,1.2471530934061731E-002,4.3037605816890825E-002,7.2159037092445460E-003,2.7331144346679080E-003,7.9945071759361772E-004,-9999.0,-9999.0,-9999.0,-9999.0,6.3410694764513952E-003,2.8304011064101625E-003,-1.0813635932692547E-002,-9999.0,-9999.0,-9999.0,-9999.0
2,6.4086914062500000E-003,1.4550119423072019E-002,2.0265137596368211E-002,2.6697351928183764E-002,2.8955387899516623E-002,5.9597813090903756E-003,-9999.0,-9999.0,-9999.0,-9999.0,-2.6059999891546597E-002,0.24732027555204200,0.26980090436709686,-9999.0,-9999.0,-9999.0,-9999.0
2,7.6293945312500000E-003,1.7321570741752404E-002,4.7669786827949784E-003,3.8534130392209445E-002,1.7001223774370244E-002,6.4362843505850944E-003,-9999.0,-9999.0,-9999.0,-9999.0,1.4151444359208518E-002,0.19259182748924616,0.47218377780754994,-9999.0,-9999.0,-9999.0,-9999.0
3,9.1552734375000000E-003,2.0785884890102881E-002,2.5623122210990272E-002,4.6498506612189724E-003,3.0111679872633867E-002,7.4403028550248610E-003,-9999.0,-9999.0,-9999.0,-9999.0,-8.8339955247360755E-002,6.2344311365132327E-002,-0.59900189980398533,-9999.0,-9999.0,-9999.0,-9999.0
4,1.1291503906250000E-002,2.5635924697793556E-002,9.0830781509427232E-003,1.3968007635463121E-002,5.7921510747670803E-002,6.3081342888113914E-003,-9999.0,-9999.0,-9999.0,-9999.0,6.9020628145393351E-002,0.10634311302781861,0.28832250268358528,-9999.0,-9999.0,-9999.0,-9999.0
4,1.3732910156250000E-002,3.1178827335154324E-002,7.1981442733166048E-002,3.8366368271490189E-002,5.0736671837267829E-002,2.4921109317829510E-002,-9999.0,-9999.0,-9999.0,-9999.0,0.10556915461694084,0.26559253118517051,-1.1591141813903145,-9999.0,-9999.0,-9999.0,-9999.0
