 normalised_and_exponentially_binned_(co)spectra
 -----------------------------------------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]_->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 10.000
measuring_height_(z-d)_[m]_=_  1.600
wind_speed_[m+1s-1]_=_  0.851
averaging_interval_[min]_=_     30
number_of_bins_=_  50
tapering_window_=_hamming
 #_freq,natural_frequency,normalized_frequency,f_nat*spec(u)/var(u),f_nat*spec(v)/var(v),f_nat*spec(w)/var(w),f_nat*spec(ts)/var(ts),f_nat*spec(co2)/var(co2),f_nat*spec(h2o)/var(h2o),f_nat*spec(ch4)/var(ch4),f_nat*spec(none)/var(none),f_nat*cospec(w_u)/cov(w_u),f_nat*cospec(w_v)/cov(w_v),f_nat*cospec(w_ts)/cov(w_ts),f_nat*cospec(w_co2)/cov(w_co2),f_nat*cospec(w_h2o)/cov(w_h2o),f_nat*cospec(w_ch4)/cov(w_ch4),f_nat*cospec(w_none)/cov(w_none)
1,6.1035156250000000E-004,1.1472135358068297E-003,3.4106719027013638E-003,1.1409549757153982E-004,1.7138740911458929E-003,0.46275773902811485,-9999.0,-9999.0,-9999.0,-9999.0,4.6740428528626917E-003,-1.9391764533411692E-003,7.2613158950727438E-002,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,1.2207031250000000E-003,2.2944270716136594E-003,1.7918422505258103E-002,3.4583827049912228E-003,1.1441031706712051E-002,0.19223433344833146,-9999.0,-9999.0,-9999.0,-9999.0,2.8392153530482533E-002,2.6609878136637621E-002,-1.6028092573723962,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,1.8310546875000000E-003,3.4416406074204886E-003,1.1838927083931467E-002,6.9578748630147067E-003,5.9313853275777869E-003,5.5591108723387031E-002,-9999.0,-9999.0,-9999.0,-9999.0,1.3978386167279831E-002,2.8883111994777552E-002,-0.56558288395820921,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,2.4414062500000000E-003,4.5888541432273187E-003,4.2989600574625253E-002,1.0174625528390630E-003,7.9578460250099223E-003,2.7443290827039377E-002,-9999.0,-9999.0,-9999.0,-9999.0,3.6316071502657171E-002,1.0792575060639532E-003,0.46999093462422514,-9999.0,-9999.0,-9999.0,-9999.0
1,3.0517578125000000E-003,5.7360676790341476E-003,2.8997093365415963E-002,5.3197650513480757E-003,7.3026378129675100E-003,3.0494632851652569E-002,-9999.0,-9999.0,-9999.0,-9999.0,2.7094258823889040E-002,-5.2354564543479649E-003,0.41223438882971358,-9999.0,-9999.0,-9999.0,-9999.0
1,3.6621093750000000E-003,6.8832812148409772E-003,1.2884260073592883E-002,1.5713391416970264E-002,2.3446912709334172E-004,5.6353418087448127E-003,-9999.0,-9999.0,-9999.0,-9999.0,2.8716936391908290E-003,2.5797037285802309E-003,2.2115589685736816E-002,-9999.0,-9999.0,-9999.0,-9999.0
2,4.5776367187500000E-003,8.6041015185512222E-003,0.10206405894862798,6.1601948780293453E-003,2.6255968393579826E-002,1.7126680764637573E-003,-9999.0,-9999.0,-9999.0,-9999.0,0.10310302237782192,4.6287808592832692E-002,9.3779778817518658E-002,-9999.0,-9999.0,-9999.0,-9999.0
1,5.4931640625000000E-003,1.0324921822261466E-002,0.23324131277538609,3.5566610704310705E-002,2.8087224855387300E-002,5.4585016256758464E-003,-9999.0,-9999.0,-9999.0,-9999.0,0.16103217799512806,0.14272092453353588,-0.25952956642427066,-9999.0,-9999.0,-9999.0,-9999.0
2,6.4086914062500000E-003,1.2045742125971710E-002,0.11914444483127838,3.8266112342987636E-002,3.6883099387382462E-002,8.9233837500799808E-004,-9999.0,-9999.0,-9999.0,-9999.0,0.11315227186736986,0.14104250932813608,-6.1899724298600127E-002,-9999.0,-9999.0,-9999.0,-9999.0
2,7.6293945312500000E-003,1.4340169197585370E-002,0.14556343042722833,2.7584134248173259E-002,1.9717318865779723E-002,7.4814714548325899E-003,-9999.0,-9999.0,-9999.0,-9999.0,9.1122326271475360E-002,6.3285703824091752E-002,0.32155256613641392,-9999.0,-9999.0,-9999.0,-9999.0
3,9.1552734375000000E-003,1.7208203037102444E-002,5.0318297959812547E-002,3.8333404455907785E-002,1.6361577076259074E-002,1.0505803674906821E-002,-9999.0,-9999.0,-9999.0,-9999.0,3.3246943064535600E-002,4.4435773008392000E-002,0.29621480294731550,-9999.0,-9999.0,-9999.0,-9999.0
4,1.1291503906250000E-002,2.1223450412426348E-002,8.7646846660074787E-002,7.4198954016751265E-002,1.5246285257327224E-002,7.6470456765535249E-003,-9999.0,-9999.0,-9999.0,-9999.0,6.7357952389608788E-002,0.11433292986083041,0.13588284410051166,-9999.0,-9999.0,-9999.0,-9999.0
4,1.3732910156250000E-002,2.5812304555653667E-002,0.10524932341681084,7.1142682126866988E-002,7.2562320240922032E-002,5.6267456909591517E-003,-9999.0,-9999.0,-9999.0,-9999.0,0.15716529592963810,0.24332242178796895,0.48523935199895246,-9999.0,-9999.0,-9999.0,-9999.0
4,1.6174316406250000E-002,3.0401158698880985E-002,0.15840591228394385,9.1111725129808280E-002,6.2686255484645709E-002,2.0891409538623812E-002,-9999.0,-9999.0,-9999.0,-9999.0,0.13110338537417363,0.28646136475175427,0.55577822461538362,-9999.0,-9999.0,-9999.0,-9999.0
6,1.9226074218750000E-002,3.6137226377915131E-002,0.20248435416575561,9.3623530996234272E-002,6.3651361298298278E-002,2.5889683110927861E-002,-9999.0,-9999.0,-9999.0,-9999.0,0.16966776179244683,0.25777731365966672,0.93425021444380063,-9999.0,-9999.0,-9999.0,-9999.0
