 normalised_and_exponentially_binned_(co)spectra
 -----------------------------------------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]_->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 10.000
measuring_height_(z-d)_[m]_=_  1.600
wind_speed_[m+1s-1]_=_  1.459
averaging_interval_[min]_=_     30
number_of_bins_=_  50
tapering_window_=_hamming
 #_freq,natural_frequency,normalized_frequency,f_nat*spec(u)/var(u),f_nat*spec(v)/var(v),f_nat*spec(w)/var(w),f_nat*spec(ts)/var(ts),f_nat*spec(co2)/var(co2),f_nat*spec(h2o)/var(h2o),f_nat*spec(ch4)/var(ch4),f_nat*spec(none)/var(none),f_nat*cospec(w_u)/cov(w_u),f_nat*cospec(w_v)/cov(w_v),f_nat*cospec(w_ts)/cov(w_ts),f_nat*cospec(w_co2)/cov(w_co2),f_nat*cospec(w_h2o)/cov(w_h2o),f_nat*cospec(w_ch4)/cov(w_ch4),f_nat*cospec(w_none)/cov(w_none)
1,6.1035156250000000E-004,6.6939587926545801E-004,1.7536474032905586E-003,2.5486449303871027E-004,1.6167553850154442E-004,0.12850309941683896,-9999.0,-9999.0,-9999.0,-9999.0,4.6911446411150859E-003,-2.6108692078259106E-003,4.8993675608151538E-003,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,1.2207031250000000E-003,1.3387917585309160E-003,1.9372744817854881E-003,8.5905087329485909E-003,5.8845842906889933E-005,2.5690750027709614E-002,-9999.0,-9999.0,-9999.0,-9999.0,-4.2500218306284155E-003,-2.4865030795421161E-003,-1.8694348560861697E-002,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,1.8310546875000000E-003,2.0081876377963741E-003,4.3840017834498122E-003,1.0683259399002680E-002,4.1291771178107473E-004,2.2922481100901469E-002,-9999.0,-9999.0,-9999.0,-9999.0,1.4798944030356351E-002,2.7271686173119699E-002,-8.4787910597220781E-002,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,2.4414062500000000E-003,2.6775835170618320E-003,5.6193851064440838E-004,3.6150501648869911E-003,2.3155675057628255E-004,6.8985158023333312E-002,-9999.0,-9999.0,-9999.0,-9999.0,3.9578832500545454E-003,1.0544025005212862E-002,-2.4634103288324473E-002,-9999.0,-9999.0,-9999.0,-9999.0
1,3.0517578125000000E-003,3.3469793963272899E-003,9.5312514602377534E-003,6.8212513255150788E-003,4.5166314785333563E-003,5.6776742858486641E-002,-9999.0,-9999.0,-9999.0,-9999.0,7.7614012550150768E-002,4.8331569599083288E-002,0.42998757595166187,-9999.0,-9999.0,-9999.0,-9999.0
1,3.6621093750000000E-003,4.0163752755927483E-003,9.5491624148387310E-003,7.5714354882678520E-003,5.3206991683190374E-003,2.5134868636849908E-003,-9999.0,-9999.0,-9999.0,-9999.0,3.6396437074173456E-002,1.5752547870024225E-002,0.10180074090419183,-9999.0,-9999.0,-9999.0,-9999.0
2,4.5776367187500000E-003,5.0204690944909347E-003,1.8367819332588759E-002,1.5956532481427206E-002,2.0312748346133563E-003,2.4072323588393282E-002,-9999.0,-9999.0,-9999.0,-9999.0,4.2909852317581480E-002,7.2272068256805126E-003,0.16269539503482175,-9999.0,-9999.0,-9999.0,-9999.0
1,5.4931640625000000E-003,6.0245629133891219E-003,1.2294317111810591E-002,1.8385460376645218E-002,6.5018108935774284E-003,9.0550821936167415E-003,-9999.0,-9999.0,-9999.0,-9999.0,8.9277164269365480E-002,-4.1693751397349288E-003,0.11313232289412126,-9999.0,-9999.0,-9999.0,-9999.0
2,6.4086914062500000E-003,7.0286567322873092E-003,1.5846836904783015E-002,1.7725737838870929E-002,9.0076565412948867E-003,1.7923227486839489E-002,-9999.0,-9999.0,-9999.0,-9999.0,0.14112244800977933,9.2346718039304013E-002,-0.19113570631929894,-9999.0,-9999.0,-9999.0,-9999.0
2,7.6293945312500000E-003,8.3674484908182259E-003,1.0397661341743636E-002,7.8379628992792556E-003,5.8329839780982681E-003,4.0251239723710343E-002,-9999.0,-9999.0,-9999.0,-9999.0,4.1592430636974938E-002,5.0902638498272389E-002,-9.1896741273963384E-002,-9999.0,-9999.0,-9999.0,-9999.0
3,9.1552734375000000E-003,1.0040938188981869E-002,9.1024316158193792E-003,2.6236369036802603E-003,7.0056530682435572E-003,7.9205152448674227E-003,-9999.0,-9999.0,-9999.0,-9999.0,-3.9688606323515209E-002,-1.1985959432649389E-002,3.5413789518877882E-003,-9999.0,-9999.0,-9999.0,-9999.0
4,1.1291503906250000E-002,1.2383823766410973E-002,4.5922806929153945E-002,3.6239729934189717E-002,8.7117258775666617E-003,6.6621673936776973E-003,-9999.0,-9999.0,-9999.0,-9999.0,0.15246921752299233,0.13025924287025487,0.12556434100360370,-9999.0,-9999.0,-9999.0,-9999.0
4,1.3732910156250000E-002,1.5061407283472805E-002,5.3962278925463745E-003,9.2608324345273465E-003,7.1962902646549786E-003,4.0706176951983220E-003,-9999.0,-9999.0,-9999.0,-9999.0,4.7476930274693047E-002,2.8008856655749353E-002,5.7933605682940308E-002,-9999.0,-9999.0,-9999.0,-9999.0
