 normalised_and_exponentially_binned_(co)spectra
 -----------------------------------------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]_->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 10.000
measuring_height_(z-d)_[m]_=_  1.600
wind_speed_[m+1s-1]_=_  0.612
averaging_interval_[min]_=_     30
number_of_bins_=_  50
tapering_window_=_hamming
 #_freq,natural_frequency,normalized_frequency,f_nat*spec(u)/var(u),f_nat*spec(v)/var(v),f_nat*spec(w)/var(w),f_nat*spec(ts)/var(ts),f_nat*spec(co2)/var(co2),f_nat*spec(h2o)/var(h2o),f_nat*spec(ch4)/var(ch4),f_nat*spec(none)/var(none),f_nat*cospec(w_u)/cov(w_u),f_nat*cospec(w_v)/cov(w_v),f_nat*cospec(w_ts)/cov(w_ts),f_nat*cospec(w_co2)/cov(w_co2),f_nat*cospec(w_h2o)/cov(w_h2o),f_nat*cospec(w_ch4)/cov(w_ch4),f_nat*cospec(w_none)/cov(w_none)
1,6.1035156250000000E-004,1.5965663465210549E-003,8.8583246612277504E-003,6.4183924630139048E-004,2.7008831630851550E-003,0.22152243912349162,-9999.0,-9999.0,-9999.0,-9999.0,8.1495764278155785E-003,4.4478114744304484E-003,6.3925673262651361E-002,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,1.2207031250000000E-003,3.1931326930421098E-003,7.1071783702592473E-003,4.0724658035528379E-003,2.6574704987338809E-003,0.18935117329882417,-9999.0,-9999.0,-9999.0,-9999.0,7.9079431198286129E-003,-1.1441494450674420E-002,8.7690917045708167E-002,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,1.8310546875000000E-003,4.7896990395631649E-003,1.2284130288941231E-004,7.8676268842492077E-003,5.7724437427365358E-003,2.5468004574148256E-002,-9999.0,-9999.0,-9999.0,-9999.0,6.0720212739625310E-004,-2.7235425545188100E-002,2.9235503350130601E-002,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,2.4414062500000000E-003,6.3862653860842196E-003,2.0169880912496167E-003,2.4000328163501766E-003,4.5484673097553373E-003,9.4640110993928231E-002,-9999.0,-9999.0,-9999.0,-9999.0,-3.5622682481907565E-003,-1.1591144444170694E-002,8.2434048332331727E-002,-9999.0,-9999.0,-9999.0,-9999.0
1,3.0517578125000000E-003,7.9828317326052743E-003,2.8508448336667718E-003,1.4576730002672132E-003,9.0990933783222940E-004,2.0010611665616376E-002,-9999.0,-9999.0,-9999.0,-9999.0,3.0339543155364652E-003,3.5065776870873496E-003,6.0147922060263743E-004,-9999.0,-9999.0,-9999.0,-9999.0
1,3.6621093750000000E-003,9.5793980791263299E-003,7.5622595153264464E-003,5.4072053743041918E-003,6.6504006477110795E-004,6.9976966192267356E-002,-9999.0,-9999.0,-9999.0,-9999.0,4.0945228006937810E-003,6.9422624787769550E-003,-1.5488870079324698E-002,-9999.0,-9999.0,-9999.0,-9999.0
2,4.5776367187500000E-003,1.1974247598907913E-002,2.5964664560467001E-002,5.7462483104416028E-003,4.2171274272843678E-003,4.0029026395750518E-002,-9999.0,-9999.0,-9999.0,-9999.0,1.9519889594709114E-002,-1.4420626544575446E-002,2.4254053408959475E-002,-9999.0,-9999.0,-9999.0,-9999.0
1,5.4931640625000000E-003,1.4369097118689495E-002,6.9167950864550877E-006,1.6565784525200827E-003,5.3549641760946287E-003,3.7860833313813742E-002,-9999.0,-9999.0,-9999.0,-9999.0,1.1446868132345713E-004,-4.4244889780539207E-003,2.2056831889567419E-002,-9999.0,-9999.0,-9999.0,-9999.0
