 normalised_and_exponentially_binned_(co)spectra
 -----------------------------------------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]_->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 10.000
measuring_height_(z-d)_[m]_=_  1.600
wind_speed_[m+1s-1]_=_  1.040
averaging_interval_[min]_=_     60
number_of_bins_=_  50
tapering_window_=_hamming
 #_freq,natural_frequency,normalized_frequency,f_nat*spec(u)/var(u),f_nat*spec(v)/var(v),f_nat*spec(w)/var(w),f_nat*spec(ts)/var(ts),f_nat*spec(co2)/var(co2),f_nat*spec(h2o)/var(h2o),f_nat*spec(ch4)/var(ch4),f_nat*spec(none)/var(none),f_nat*cospec(w_u)/cov(w_u),f_nat*cospec(w_v)/cov(w_v),f_nat*cospec(w_ts)/cov(w_ts),f_nat*cospec(w_co2)/cov(w_co2),f_nat*cospec(w_h2o)/cov(w_h2o),f_nat*cospec(w_ch4)/cov(w_ch4),f_nat*cospec(w_none)/cov(w_none)
1,3.0517578125000000E-004,4.6959649862628725E-004,1.0178107870600151E-003,2.8233276610395582E-004,1.1725352587029336E-003,0.19756187805086989,-9999.0,-9999.0,-9999.0,-9999.0,2.9930912749938621E-003,1.3643987161497193E-003,-0.74461294084447138,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,6.1035156250000000E-004,9.3919299725257451E-004,6.5625732904140664E-003,1.7163743294603545E-003,2.7596653055574978E-003,6.5434985694362457E-002,-9999.0,-9999.0,-9999.0,-9999.0,1.1176938997206882E-002,6.0202658837598174E-003,-0.15118748144332697,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,9.1552734375000000E-004,1.4087894958788618E-003,1.3405781530130328E-003,6.3272121082434598E-004,7.1860646143843840E-005,3.3395225282849265E-002,-9999.0,-9999.0,-9999.0,-9999.0,-8.5592006791101723E-004,-4.9514613934099178E-004,-7.0219973550544559E-002,-9999.0,-9999.0,-9999.0,-9999.0
1,1.2207031250000000E-003,1.8783859945051490E-003,1.6667311704578304E-003,1.0466132572815499E-003,3.9563982204230234E-003,2.2149056095331411E-003,-9999.0,-9999.0,-9999.0,-9999.0,6.2557083807299550E-003,1.4348825967183954E-003,-0.13252155666688928,-9999.0,-9999.0,-9999.0,-9999.0
1,1.5258789062500000E-003,2.3479824931314365E-003,2.7782378131839997E-004,1.0576792489912328E-003,4.9405104856941415E-003,3.3757801108641895E-003,-9999.0,-9999.0,-9999.0,-9999.0,3.2108588448289646E-003,-8.4195328492735969E-004,0.16586328620178711,-9999.0,-9999.0,-9999.0,-9999.0
1,1.8310546875000000E-003,2.8175789917577235E-003,3.1108576092363704E-004,2.5013208344829715E-003,1.0126119183639343E-002,1.3719934220517995E-003,-9999.0,-9999.0,-9999.0,-9999.0,1.6296678963318464E-003,2.6370799181489376E-003,-0.21909381708559270,-9999.0,-9999.0,-9999.0,-9999.0
