Full_(co)spectra
----------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 10.000
measuring_height_(z-d)_[m]_=_  1.600
wind_speed_[m+1s-1]_=_  0.560
averaging_interval_[min]_=_     60
tapering_window_=_SQUARED_(no_tapering_forced_by_EddyPro._Tapering_is_only_applied_for_binned_(co)spectra)
,,cov(w_ts)
,,4.5768790906412719E-002
natural_frequency,normalized_frequency,f_nat*cospec(w_ts)
3.0517578125000000E-004,8.7180059786616288E-004,0.74061811294791113
6.1035156250000000E-004,1.7436011957323258E-003,0.23549650116087581
9.1552734375000000E-004,2.6154017935984884E-003,6.1115684622160334E-002
1.2207031250000000E-003,3.4872023914646515E-003,0.44875875583713143
1.5258789062500000E-003,4.3590029893308142E-003,8.3170250775425874E-003
1.8310546875000000E-003,5.2308035871969768E-003,7.2004929407457230E-002
2.1362304687500000E-003,6.1026041850631403E-003,0.11548884674075667
2.4414062500000000E-003,6.9744047829293030E-003,3.5357257430898577E-002
2.7465820312500000E-003,7.8462053807954665E-003,7.1420385360048619E-002
3.0517578125000000E-003,8.7180059786616283E-003,6.3735204605826337E-002
3.3569335937500000E-003,9.5898065765277919E-003,5.8323307851655100E-003
3.6621093750000000E-003,1.0461607174393954E-002,6.2475272634411487E-002
3.9672851562500000E-003,1.1333407772260117E-002,-4.4685466911709290E-003
4.2724609375000000E-003,1.2205208370126281E-002,3.9835423933145361E-002
4.5776367187500000E-003,1.3077008967992442E-002,2.8719149511548244E-002
4.8828125000000000E-003,1.3948809565858606E-002,-4.4440110793699049E-002
5.1879882812500000E-003,1.4820610163724768E-002,0.14459197442547156
5.4931640625000000E-003,1.5692410761590933E-002,-3.3809984551561610E-002
5.7983398437500000E-003,1.6564211359457095E-002,2.1079548632384742E-002
6.1035156250000000E-003,1.7436011957323257E-002,-1.3776963578369357E-002
6.4086914062500000E-003,1.8307812555189418E-002,-6.8515193152163985E-003
6.7138671875000000E-003,1.9179613153055584E-002,-6.7327235480795283E-003
7.0190429687500000E-003,2.0051413750921745E-002,3.4600636324156046E-002
7.3242187500000000E-003,2.0923214348787907E-002,-2.4249217231105690E-002
7.6293945312500000E-003,2.1795014946654073E-002,5.1359848553449881E-003
7.9345703125000000E-003,2.2666815544520234E-002,-1.9980664805964020E-002
8.2397460937500000E-003,2.3538616142386396E-002,-1.6941033627380995E-004
8.5449218750000000E-003,2.4410416740252561E-002,0.15226684721127176
8.8500976562500000E-003,2.5282217338118723E-002,1.2786004664228899E-002
9.1552734375000000E-003,2.6154017935984885E-002,-3.6181147675248292E-002
9.4604492187500000E-003,2.7025818533851050E-002,5.7605575862802294E-002
9.7656250000000000E-003,2.7897619131717212E-002,7.8555271532326377E-003
1.0070800781250000E-002,2.8769419729583374E-002,-4.1191048846130313E-002
1.0375976562500000E-002,2.9641220327449536E-002,-3.4436846123494312E-002
1.0681152343750000E-002,3.0513020925315701E-002,6.6639018071931837E-003
1.0986328125000000E-002,3.1384821523181866E-002,-0.11555221555362241
1.1291503906250000E-002,3.2256622121048024E-002,3.0584487804547686E-002
1.1596679687500000E-002,3.3128422718914190E-002,-1.4172314704957003E-002
1.1901855468750000E-002,3.4000223316780348E-002,4.0886929902897808E-002
1.2207031250000000E-002,3.4872023914646513E-002,2.4136429273010036E-002
1.2512207031250000E-002,3.5743824512512679E-002,3.7207526244729837E-003
1.2817382812500000E-002,3.6615625110378837E-002,-1.4148662189027864E-002
1.3122558593750000E-002,3.7487425708245002E-002,2.1038088704766710E-002
1.3427734375000000E-002,3.8359226306111167E-002,0.11913690293827904
1.3732910156250000E-002,3.9231026903977326E-002,8.2380040708327978E-005
1.4038085937500000E-002,4.0102827501843491E-002,3.1593452073584355E-002
1.4343261718750000E-002,4.0974628099709656E-002,4.3485484735443010E-002
1.4648437500000000E-002,4.1846428697575815E-002,-1.2499382164543559E-003
1.4953613281250000E-002,4.2718229295441980E-002,1.1222461134011368E-002
1.5258789062500000E-002,4.3590029893308145E-002,-1.2242968582102179E-002
1.5563964843750000E-002,4.4461830491174303E-002,-2.5343003446212410E-002
1.5869140625000000E-002,4.5333631089040469E-002,1.6883464880687381E-002
1.6174316406250000E-002,4.6205431686906634E-002,-3.6269875825548793E-003
1.6479492187500000E-002,4.7077232284772792E-002,1.8173358025542242E-002
1.6784667968750000E-002,4.7949032882638958E-002,-1.4590282411519929E-002
1.7089843750000000E-002,4.8820833480505123E-002,-3.9709124905964073E-003
1.7395019531250000E-002,4.9692634078371281E-002,-2.3818307400261501E-002
1.7700195312500000E-002,5.0564434676237446E-002,-1.9337730481401801E-002
1.8005371093750000E-002,5.1436235274103612E-002,-9.6549709860423768E-003
1.8310546875000000E-002,5.2308035871969770E-002,-5.0905178818237931E-002
1.8615722656250000E-002,5.3179836469835935E-002,2.6782431161235850E-002
1.8920898437500000E-002,5.4051637067702100E-002,1.3017173210860926E-002
1.9226074218750000E-002,5.4923437665568259E-002,-4.8530302205996453E-002
1.9531250000000000E-002,5.5795238263434424E-002,4.6469708539761082E-002
1.9836425781250000E-002,5.6667038861300582E-002,7.9582181541585136E-003
2.0141601562500000E-002,5.7538839459166748E-002,2.0680306942612138E-003
2.0446777343750000E-002,5.8410640057032913E-002,-4.7923454859193838E-002
2.0751953125000000E-002,5.9282440654899071E-002,5.6719999912315617E-003
2.1057128906250000E-002,6.0154241252765236E-002,4.6038929225553455E-003
2.1362304687500000E-002,6.1026041850631402E-002,1.6456952334424655E-002
2.1667480468750000E-002,6.1897842448497560E-002,-2.8665733868558804E-002
2.1972656250000000E-002,6.2769643046363732E-002,3.0406133197377568E-002
2.2277832031250000E-002,6.3641443644229884E-002,-3.7080143388162103E-002
2.2583007812500000E-002,6.4513244242096049E-002,-2.8991033972473108E-002
2.2888183593750000E-002,6.5385044839962214E-002,-4.9388599923090894E-002
2.3193359375000000E-002,6.6256845437828379E-002,0.14220726049466587
