first_statistics:_on_raw_data
filename,date,time,DOY,used_records,mean(u),mean(v),mean(w),mean(ts),mean(co2),mean(h2o),mean(ch4),mean(none),mean(tc),mean(pc),mean(te),mean(pe),WindDirection,var(u),var(v),var(w),var(ts),var(co2),var(h2o),var(ch4),var(none),var(tc),var(pc),var(te),var(pe),cov(u/v),cov(u/w),cov(u/ts),cov(u/co2),cov(u/h2o),cov(u/ch4),cov(u/none),cov(v/w),cov(v/ts),cov(v/co2),cov(v/h2o),cov(v/ch4),cov(v/none),cov(w/ts),cov(w/co2),cov(w/h2o),cov(w/ch4),cov(w/none),cov(w/tc),cov(w/pc),cov(w/te),cov(w/pe),st_dev(u),st_dev(v),st_dev(w),st_dev(ts),st_dev(co2),st_dev(h2o),st_dev(ch4),st_dev(none),st_dev(tc),st_dev(pc),st_dev(te),st_dev(pe),skw(u),skw(v),skw(w),skw(ts),skw(co2),skw(h2o),skw(ch4),skw(none),skw(tc),skw(pc),skw(te),skw(pe),kur(u),kur(v),kur(w),kur(ts),kur(co2),kur(h2o),kur(ch4),kur(none),kur(tc),kur(pc),kur(te),kur(pe)
2013-08-06-154300.txt,2013-08-06,17:00,218.708,36000,-9.1313888806813112E-002,7.3144166616384218E-002,7.5476110937072932E-002,304.57269049072266,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,308.69539337369770,0.14094605105411664,0.15073686123031327,6.3813689703295845E-002,9.1719827396445908E-002,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-6.0868666045983774E-002,2.6412597674539306E-002,5.4220517696254689E-002,-9999.0,-9999.0,-9999.0,-9999.0,-7.8249373241223961E-003,-6.6298807744086474E-002,-9999.0,-9999.0,-9999.0,-9999.0,1.7646103639950894E-002,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.37542782402762404,0.38824845296576943,0.25261371637996194,0.30285281474083398,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,2.0985383778522621E-002,0.29666326118396880,5.6700041190541839E-002,-0.56475220216981570,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,2.6832363728732225,3.1594091347351272,3.0647238102255607,1.9581235384536395,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2013-08-06-170329.txt,2013-08-06,18:00,218.749,34200,6.2321344977408127E-002,-0.12541374265973274,0.18359590607101475,304.97965208622441,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,153.57602543640564,8.7562631525224269E-002,8.0217840240318555E-002,5.4230045810026335E-002,5.8025898921187036E-002,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-1.3188336314349347E-002,-7.2078366753911688E-005,-6.3600779472139379E-004,-9999.0,-9999.0,-9999.0,-9999.0,1.6607587059514792E-002,-1.1956320395825060E-003,-9999.0,-9999.0,-9999.0,-9999.0,2.3978556185895172E-003,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.29590983681727151,0.28322754145795664,0.23287345449841709,0.24088565528313852,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-0.18735320405898770,0.10604443178696812,0.13406548843360783,0.11643751296697893,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,3.3020605180640046,3.4925422877987908,2.9251908102508315,1.8607385351365775,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2013-08-07-110533.txt,2013-08-07,12:00,219.499,33000,0.26644545415913073,-0.19062454528028464,0.38315787836452209,305.34259764515275,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,125.58127712386442,8.8280140696435958E-002,7.2712024860716831E-002,5.6150667129184373E-002,1.1002990446286276E-002,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-5.1503805800500874E-003,6.9058217817660195E-003,-2.9472723802541623E-003,-9999.0,-9999.0,-9999.0,-9999.0,1.4332600346270014E-003,1.0841526823597292E-003,-9999.0,-9999.0,-9999.0,-9999.0,1.2970429684884266E-003,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.29711974134418595,0.26965167320214578,0.23696131990091626,0.10489514024151107,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.40367380443585638,1.0783468198474606E-002,-0.15554765486164090,-0.57528462384367718,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,3.6876927076196035,3.3499944427334687,3.3201792215479111,2.5765982438052144,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2013-08-07-123309.txt,2013-08-07,14:00,219.583,36000,0.70175277755140586,-0.19523305545871145,0.16239555523194929,305.72899204932327,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,105.54697888360633,1.4510385259051042,0.49140519479906836,0.14665096099555713,7.7210414296132512E-002,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-0.66530048469601821,7.6565476092321824E-002,0.28611928942262921,-9999.0,-9999.0,-9999.0,-9999.0,-2.1045511151565562E-002,-0.14693216417037291,-9999.0,-9999.0,-9999.0,-9999.0,2.2558714986644191E-002,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,1.2045906051041175,0.70100299200436256,0.38295033750547491,0.27786762009297256,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.12775657627627016,-0.37064054373894811,0.17379178159479416,-0.10746652084149638,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,1.6491847523142471,2.3604263786225057,2.8260809614278082,1.4241772495626837,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2013-08-07-162814.txt,2013-08-07,18:00,219.749,33600,-0.19536874969223536,0.18322589255987082,8.5973214131731479E-002,306.37662371680858,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,313.16295328872417,0.30996014345236728,0.15232649510649893,0.10446211808328612,6.7335022336919792E-002,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9.4883558877427887E-002,-1.2301800294568194E-002,0.10261454127238068,-9999.0,-9999.0,-9999.0,-9999.0,1.0000367914104621E-002,-4.1198009140202885E-002,-9999.0,-9999.0,-9999.0,-9999.0,-1.6777557096116169E-002,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.55674064289610403,0.39029027032005159,0.32320599945435130,0.25948992723595227,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.77766590650240686,-0.84242867230676099,0.17348760813719113,-5.9933324108397074E-003,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,3.7071155888529450,4.5794208003533576,3.0859201668552836,1.0780244732484427,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2013-08-12-094848.txt,2013-08-12,11:00,224.458,36000,-0.29996555499740868,0.22161777740148686,0.12210111088811827,305.23735260179302,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,306.45738734673034,0.10591088170686461,9.3649460313473265E-002,7.2025812857300989E-002,4.1906789512722753E-002,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-1.0248475159581327E-002,1.4176463616651081E-002,-1.1301083523363786E-002,-9999.0,-9999.0,-9999.0,-9999.0,-2.5488686282047548E-003,7.6339523032515899E-003,-9999.0,-9999.0,-9999.0,-9999.0,-1.0910520625266429E-002,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.32543952081279959,0.30602199318590367,0.26837625240937579,0.20471147870288747,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.17941695682603293,2.0932748496334648E-002,7.4002001075878815E-002,-1.4073454333049369,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,3.6469588941677840,3.4730002275627458,2.8288951199681840,3.2152315151156663,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2013-08-12-110516.txt,2013-08-12,12:00,224.499,33000,-0.31139484794607253,0.14204909058411630,0.21083727254515403,305.48840952555338,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,294.52106452048599,8.6365863107522353E-002,8.3273546479863347E-002,6.1053083660969606E-002,5.7204864569939673E-003,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-1.1447490275404655E-002,2.3462011611232042E-003,3.6262629458150286E-003,-9999.0,-9999.0,-9999.0,-9999.0,6.0026903527235949E-003,-1.5574195279839387E-003,-9999.0,-9999.0,-9999.0,-9999.0,2.3488397090716262E-003,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.29388069536381994,0.28857156214683272,0.24708922206557210,7.5633897539357092E-002,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-0.15942827683511726,0.14968345528990915,-0.16346504164402964,-0.15851334875670026,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,2.9120656501535267,3.0149697985770594,2.9310962986987530,2.8801050674032953,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2013-08-12-155125.txt,2013-08-12,17:00,224.708,36000,0.80228472177509902,-0.38133722184120539,9.8593055485444669E-002,307.11324067942297,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,115.42239884986671,0.26905552723826676,0.15012522825840438,0.14233055623873397,9.3228166602784768E-002,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-7.8529319814068743E-002,5.9531506933812456E-003,6.9409999916359766E-002,-9999.0,-9999.0,-9999.0,-9999.0,1.0947110138194570E-002,-2.1359309464060061E-002,-9999.0,-9999.0,-9999.0,-9999.0,-3.4889121623393748E-003,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.51870562676557386,0.38745996987870163,0.37726722126197759,0.30533287835211059,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.33699300003980176,-0.30949440260279870,0.11225796417762017,-0.89160089026160561,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,2.9969137296802275,3.0475776832882615,2.9071453092708572,2.9231667994896577,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2013-08-20-170159.txt,2013-08-20,18:00,232.749,35400,0.80291016863153986,-0.34752203352207600,6.2751977272320264E-002,304.29822781751386,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,113.40431401663784,0.18109387526200293,0.11237176897627767,0.11527927383713241,1.1621579513303004E-002,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-5.5970807210475093E-002,1.0265454580061471E-002,1.0658357828958742E-003,-9999.0,-9999.0,-9999.0,-9999.0,-9.5905703311402468E-006,-9.5877667359900443E-004,-9999.0,-9999.0,-9999.0,-9999.0,2.7466609212218884E-003,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.42555126043991803,0.33521898659872723,0.33952801627720269,0.10780342997002927,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.23752682896381705,-0.18052865254208930,0.11590982053777046,-1.1339023251380433,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,2.9958961942219897,2.9034981826582378,2.6755612653744203,6.1040666398109824,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2013-08-21-140609.txt,2013-08-21,15:00,233.624,32400,2.1311728630985616E-003,-3.0010493854175119E-002,4.9429938181611836E-002,304.31012863912707,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,175.93800199669579,7.8848905427033919E-002,6.5912666423332086E-002,4.6504313794889805E-002,0.11411861912347376,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-1.2492628867817520E-002,1.3529449411468200E-002,1.1638553278470187E-003,-9999.0,-9999.0,-9999.0,-9999.0,5.5868025978186905E-003,-9.3915259606092150E-004,-9999.0,-9999.0,-9999.0,-9999.0,6.3852687883656500E-003,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.28080047262608715,0.25673462256449187,0.21564858866890321,0.33781447441380269,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-5.4633245599615243E-002,-0.22629329975520351,0.14797176358401662,0.10605523315357661,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,3.0443881787451192,4.1718681851385231,3.0027420052894085,2.7433425938911422,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
