 normalised_and_exponentially_binned_(co)spectra
 -----------------------------------------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]_->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 10.000
measuring_height_(z-d)_[m]_=_  1.600
wind_speed_[m+1s-1]_=_  0.605
averaging_interval_[min]_=_     30
number_of_bins_=_  50
tapering_window_=_hamming
 #_freq,natural_frequency,normalized_frequency,f_nat*spec(u)/var(u),f_nat*spec(v)/var(v),f_nat*spec(w)/var(w),f_nat*spec(ts)/var(ts),f_nat*spec(co2)/var(co2),f_nat*spec(h2o)/var(h2o),f_nat*spec(ch4)/var(ch4),f_nat*spec(none)/var(none),f_nat*cospec(w_u)/cov(w_u),f_nat*cospec(w_v)/cov(w_v),f_nat*cospec(w_ts)/cov(w_ts),f_nat*cospec(w_co2)/cov(w_co2),f_nat*cospec(w_h2o)/cov(w_h2o),f_nat*cospec(w_ch4)/cov(w_ch4),f_nat*cospec(w_none)/cov(w_none)
1,6.1035156250000000E-004,1.6133732101910978E-003,2.4874186725976711E-003,8.5645015537362773E-004,1.2141437221154451E-003,0.36252155884387649,-9999.0,-9999.0,-9999.0,-9999.0,-3.3297687174254624E-002,-4.1840943709764027E-004,1.3989803138379344,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,1.2207031250000000E-003,3.2267464203821956E-003,3.3101458391297800E-003,8.2581580850466310E-004,6.8016353232344760E-003,2.6037164561580926E-002,-9999.0,-9999.0,-9999.0,-9999.0,-8.9213854214927543E-002,1.0990070072098450E-002,-1.4498801243751769,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,1.8310546875000000E-003,4.8401196305732936E-003,1.4509283830862140E-003,7.1176980022337136E-003,8.0056666922931931E-003,4.3109608929879457E-003,-9999.0,-9999.0,-9999.0,-9999.0,3.6183472672411322E-002,2.2314586679525329E-002,0.93479033414461721,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,2.4414062500000000E-003,6.4534928407643912E-003,1.5359813805641358E-003,1.3910775958496245E-003,1.9675123639513741E-003,3.3369482506605139E-002,-9999.0,-9999.0,-9999.0,-9999.0,3.3269212076669157E-002,1.1854834689173227E-002,1.2676611672543943,-9999.0,-9999.0,-9999.0,-9999.0
1,3.0517578125000000E-003,8.0668660509554888E-003,1.4269033765161269E-003,1.4159007641037710E-002,4.5064999317556021E-003,6.5322964152289803E-002,-9999.0,-9999.0,-9999.0,-9999.0,-2.8276926746524201E-002,4.4273529698093617E-002,2.5260678765250422,-9999.0,-9999.0,-9999.0,-9999.0
1,3.6621093750000000E-003,9.6802392611465872E-003,3.9876466037953878E-004,3.7714863763756636E-002,1.4970721442037151E-002,5.6716062871824818E-002,-9999.0,-9999.0,-9999.0,-9999.0,4.2350046817267055E-002,0.12963269064166699,5.5157800314839021,-9999.0,-9999.0,-9999.0,-9999.0
2,4.5776367187500000E-003,1.2100299076433233E-002,2.8233059168612257E-002,2.1036828578625599E-002,4.7306176203012994E-002,6.7294581933320760E-002,-9999.0,-9999.0,-9999.0,-9999.0,5.2312824764511393E-002,0.10768792323631500,10.513367929870403,-9999.0,-9999.0,-9999.0,-9999.0
1,5.4931640625000000E-003,1.4520358891719881E-002,7.5715607817300135E-002,6.8131548213144863E-004,1.3717506742200921E-002,4.6849415416382649E-002,-9999.0,-9999.0,-9999.0,-9999.0,0.33375041054783899,-4.3490804479919491E-003,4.7975231612772919,-9999.0,-9999.0,-9999.0,-9999.0
2,6.4086914062500000E-003,1.6940418707006528E-002,2.6263822684676405E-002,3.0310756869219389E-002,2.4323470090530309E-002,2.0289547105561412E-002,-9999.0,-9999.0,-9999.0,-9999.0,1.1057059130567459E-002,1.0851459461212543E-002,-2.3926626254748946,-9999.0,-9999.0,-9999.0,-9999.0
2,7.6293945312500000E-003,2.0167165127388722E-002,1.2343519824375510E-002,1.2438492232788288E-002,8.9976202034177753E-003,1.2416866292677893E-002,-9999.0,-9999.0,-9999.0,-9999.0,-1.2267928287716365E-002,1.5586271085746546E-002,-1.1270176317844079E-002,-9999.0,-9999.0,-9999.0,-9999.0
3,9.1552734375000000E-003,2.4200598152866466E-002,2.5517809276194427E-002,1.2220871299087171E-002,7.5410532687201753E-003,3.0703300760766650E-002,-9999.0,-9999.0,-9999.0,-9999.0,-0.18856534361935307,-2.9148436148588294E-002,1.5600224043811706,-9999.0,-9999.0,-9999.0,-9999.0
4,1.1291503906250000E-002,2.9847404388535309E-002,2.7776370183648848E-002,1.3335446446279493E-002,1.7863201635000520E-002,3.8732672722964830E-002,-9999.0,-9999.0,-9999.0,-9999.0,-8.6579523741627612E-002,8.4867971576693929E-002,-3.1221618604551353,-9999.0,-9999.0,-9999.0,-9999.0
4,1.3732910156250000E-002,3.6300897229299703E-002,4.6849136860800611E-002,1.1185545054497224E-002,2.2516953732474573E-002,3.4419849335640317E-002,-9999.0,-9999.0,-9999.0,-9999.0,0.42931100500026026,4.6794981464543632E-002,-3.9706917531851000,-9999.0,-9999.0,-9999.0,-9999.0
4,1.6174316406250000E-002,4.2754390070064090E-002,5.6521121445352748E-002,5.2060309289623539E-002,4.1170121543911690E-002,3.3651250500406918E-002,-9999.0,-9999.0,-9999.0,-9999.0,0.46812906080102001,0.25075363294485631,1.0160941276528899,-9999.0,-9999.0,-9999.0,-9999.0
