 normalised_and_exponentially_binned_(co)spectra
 -----------------------------------------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]_->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 10.000
measuring_height_(z-d)_[m]_=_  1.600
wind_speed_[m+1s-1]_=_  0.704
averaging_interval_[min]_=_     30
number_of_bins_=_  50
tapering_window_=_hamming
 #_freq,natural_frequency,normalized_frequency,f_nat*spec(u)/var(u),f_nat*spec(v)/var(v),f_nat*spec(w)/var(w),f_nat*spec(ts)/var(ts),f_nat*spec(co2)/var(co2),f_nat*spec(h2o)/var(h2o),f_nat*spec(ch4)/var(ch4),f_nat*spec(none)/var(none),f_nat*cospec(w_u)/cov(w_u),f_nat*cospec(w_v)/cov(w_v),f_nat*cospec(w_ts)/cov(w_ts),f_nat*cospec(w_co2)/cov(w_co2),f_nat*cospec(w_h2o)/cov(w_h2o),f_nat*cospec(w_ch4)/cov(w_ch4),f_nat*cospec(w_none)/cov(w_none)
1,6.1035156250000000E-004,1.3866335340950574E-003,1.6677584284676920E-003,1.0147967472705740E-004,4.1557323594624738E-004,0.16079880472095384,-9999.0,-9999.0,-9999.0,-9999.0,-3.2903248214324896E-003,4.0258709889916915E-003,0.11173081017025696,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,1.2207031250000000E-003,2.7732670681901148E-003,5.5405152675176688E-003,7.8576999949244635E-004,2.9731913036637854E-004,2.7223842609930033E-003,-9999.0,-9999.0,-9999.0,-9999.0,9.5411987700431758E-003,-1.5654070095572067E-002,1.8747723546788139E-003,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,1.8310546875000000E-003,4.1599006022851725E-003,2.1931896102851827E-002,5.9310285847587723E-003,2.2303462351900708E-003,3.2696947660868442E-003,-9999.0,-9999.0,-9999.0,-9999.0,3.4333473640046568E-002,8.8297351930125306E-002,3.0471397381074433E-002,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,2.4414062500000000E-003,5.5465341363802297E-003,2.3001576695254329E-002,2.6257184837027350E-002,4.5758346001560082E-004,8.7997059423162282E-003,-9999.0,-9999.0,-9999.0,-9999.0,-1.0106015919779476E-002,-1.1733383754819349E-002,-5.7746270526213119E-003,-9999.0,-9999.0,-9999.0,-9999.0
1,3.0517578125000000E-003,6.9331676704752878E-003,1.6615253234071457E-002,2.7239755356447456E-002,3.4630154828255207E-003,1.0704404946500470E-003,-9999.0,-9999.0,-9999.0,-9999.0,3.0122818003154823E-002,0.32734032208018171,-7.1265118990192552E-003,-9999.0,-9999.0,-9999.0,-9999.0
1,3.6621093750000000E-003,8.3198012045703450E-003,5.6058207151766098E-003,3.0497361261060053E-002,3.0306959871164237E-003,2.0473164655315170E-003,-9999.0,-9999.0,-9999.0,-9999.0,1.7938947794450606E-002,-0.15502446330255965,-5.2018453809002845E-003,-9999.0,-9999.0,-9999.0,-9999.0
2,4.5776367187500000E-003,1.0399751505712932E-002,2.1870954405001013E-002,4.3168822392738254E-002,1.0874103758833430E-002,5.0018059473625857E-003,-9999.0,-9999.0,-9999.0,-9999.0,-7.6499932419894653E-002,-0.71891454043474823,-8.9068394037447221E-002,-9999.0,-9999.0,-9999.0,-9999.0
1,5.4931640625000000E-003,1.2479701806855517E-002,9.0316251160579841E-003,1.3001332264228727E-002,8.5126755809910512E-003,8.5038983404709073E-004,-9999.0,-9999.0,-9999.0,-9999.0,-6.3052511679968587E-002,-0.35294502134838179,2.4316248445658946E-002,-9999.0,-9999.0,-9999.0,-9999.0
2,6.4086914062500000E-003,1.4559652107998105E-002,2.6928997298710500E-002,1.0092503421240358E-002,8.7006076263496730E-004,4.8872889331818157E-003,-9999.0,-9999.0,-9999.0,-9999.0,9.7850661231191505E-003,-1.7426757646319416E-002,-9.2492847836954731E-003,-9999.0,-9999.0,-9999.0,-9999.0
2,7.6293945312500000E-003,1.7332919176188219E-002,5.5036416783966223E-002,1.1119827387633802E-002,1.4946235658064039E-003,7.6137803033034081E-003,-9999.0,-9999.0,-9999.0,-9999.0,2.1001508098099360E-003,5.7592331902751495E-002,2.3621248288850781E-002,-9999.0,-9999.0,-9999.0,-9999.0
3,9.1552734375000000E-003,2.0799503011425864E-002,2.3102362292748934E-002,2.4505619996505881E-002,2.0502871286921912E-002,3.1637145491724729E-003,-9999.0,-9999.0,-9999.0,-9999.0,7.5127288226542008E-002,0.23686114224899230,2.6947268957193050E-002,-9999.0,-9999.0,-9999.0,-9999.0
4,1.1291503906250000E-002,2.5652720380758564E-002,1.6502787917269102E-002,3.2402760136605334E-002,2.7112610977997175E-002,6.7808644942095224E-003,-9999.0,-9999.0,-9999.0,-9999.0,0.10261052520761169,-0.52790071499024172,9.5117524276115681E-002,-9999.0,-9999.0,-9999.0,-9999.0
4,1.3732910156250000E-002,3.1199254517138793E-002,4.4985761375622511E-002,6.9604368930855490E-002,2.0289309855560628E-002,4.1035154135594751E-003,-9999.0,-9999.0,-9999.0,-9999.0,0.11622768461600777,0.12054715933769887,6.1574917665129285E-002,-9999.0,-9999.0,-9999.0,-9999.0
4,1.6174316406250000E-002,3.6745788653519025E-002,4.0294006629122178E-002,9.6319292111967506E-002,1.1366994203149712E-002,2.6514060941608564E-003,-9999.0,-9999.0,-9999.0,-9999.0,7.1315567514818878E-002,-7.7848011141538748E-003,2.6618537692795076E-002,-9999.0,-9999.0,-9999.0,-9999.0
6,1.9226074218750000E-002,4.3678956323994308E-002,3.6437911803280584E-002,5.7427149594405293E-002,5.4500307101289724E-002,4.1217392181181313E-003,-9999.0,-9999.0,-9999.0,-9999.0,0.24652550229921646,-0.17501104981674709,-4.4437655001996847E-002,-9999.0,-9999.0,-9999.0,-9999.0
7,2.3193359375000000E-002,5.2692074295612186E-002,7.9953848193621335E-002,0.23816896586349789,4.8964047961434942E-002,1.5849439037107699E-002,-9999.0,-9999.0,-9999.0,-9999.0,0.21994280021116783,-1.1479632970875868,0.17588176576949846,-9999.0,-9999.0,-9999.0,-9999.0
9,2.8076171875000000E-002,6.3785142568372644E-002,7.7094846806524411E-002,0.22521168895818519,6.9186301563258445E-002,1.6604542220927047E-002,-9999.0,-9999.0,-9999.0,-9999.0,-0.13151220396058974,-1.0693782729713166,5.7873508836050351E-002,-9999.0,-9999.0,-9999.0,-9999.0
9,3.3569335937500000E-002,7.6264844375228166E-002,0.10201342459076615,5.6424903110709093E-002,7.4896917437992400E-002,1.3515555011844378E-002,-9999.0,-9999.0,-9999.0,-9999.0,0.43273729483976453,1.2407195105774669,0.11672707762059736,-9999.0,-9999.0,-9999.0,-9999.0
12,3.9978027343750000E-002,9.0824496483226269E-002,0.20869410909818484,0.16808140105795646,0.14863505247999076,3.2091189822136469E-002,-9999.0,-9999.0,-9999.0,-9999.0,0.49280402318192984,1.1138060016364539,0.23655804762920965,-9999.0,-9999.0,-9999.0,-9999.0
15,4.8217773437500000E-002,0.10954404919350955,0.15817158341211893,0.15183968254447683,0.23863359641042864,1.4181083004960805E-002,-9999.0,-9999.0,-9999.0,-9999.0,0.32735272042159436,-1.2778297606239486,0.12708977329276247,-9999.0,-9999.0,-9999.0,-9999.0
17,5.7983398437500000E-002,0.13173018573903048,0.10154825627585258,8.4612319832538418E-002,4.8074537142868121E-002,1.1818429555716176E-002,-9999.0,-9999.0,-9999.0,-9999.0,0.27254609284485132,0.51571570386718113,5.1469445524807894E-002,-9999.0,-9999.0,-9999.0,-9999.0
21,6.9580078125000000E-002,0.15807622288683656,0.16900032234268378,0.21373005076888513,0.11650167956809397,2.3469602941098521E-002,-9999.0,-9999.0,-9999.0,-9999.0,0.26498228763898496,-1.7626411222317906,0.22632629824201583,-9999.0,-9999.0,-9999.0,-9999.0
25,8.3618164062500000E-002,0.18996879417102289,0.35046582653074537,0.45584920056627298,0.21132165868039990,2.9064800253764914E-002,-9999.0,-9999.0,-9999.0,-9999.0,-0.70877044857828775,0.73715841618013989,0.31850873573341826,-9999.0,-9999.0,-9999.0,-9999.0
29,0.10009765625000000,0.22740789959158944,0.22321181620833341,0.23708003115249807,0.18398417412723495,1.6980205847943165E-002,-9999.0,-9999.0,-9999.0,-9999.0,-7.5689608543606804E-002,0.47147690114350288,0.19913406569258205,-9999.0,-9999.0,-9999.0,-9999.0
36,0.11993408203125000,0.27247348944967881,0.27206212566541177,0.25683710063346976,0.28206586003205719,3.0281498045878694E-002,-9999.0,-9999.0,-9999.0,-9999.0,0.34027237394965071,-1.5848544481088138,0.31777388481520386,-9999.0,-9999.0,-9999.0,-9999.0
43,0.14404296875000000,0.32724551404643359,0.30010308864575624,0.26057359149358233,0.21017015340064518,2.5961629321918343E-002,-9999.0,-9999.0,-9999.0,-9999.0,-8.6674086809545303E-002,1.7977565925548018,0.31861453802722384,-9999.0,-9999.0,-9999.0,-9999.0
51,0.17272949218750000,0.39241729014890125,0.24267089870176628,0.19714241724632633,0.17453456450965871,2.7328199589064777E-002,-9999.0,-9999.0,-9999.0,-9999.0,9.0793483468621608E-002,-0.15890553752207559,0.12956780638393112,-9999.0,-9999.0,-9999.0,-9999.0
62,0.20721435546875000,0.47076208482527204,0.25444145875723628,0.21535596160968329,0.22745406795894602,3.8181619100336080E-002,-9999.0,-9999.0,-9999.0,-9999.0,0.48821440585440706,0.62130598783501967,0.28172566273597432,-9999.0,-9999.0,-9999.0,-9999.0
74,0.24871826171875000,0.56505316514373594,0.21857712191302098,0.22802115477510418,0.35124340593014808,2.2605758166903779E-002,-9999.0,-9999.0,-9999.0,-9999.0,0.20887768504846643,-0.31838184144326215,-2.4607361728757340E-003,-9999.0,-9999.0,-9999.0,-9999.0
89,0.29846191406250000,0.67806379817248308,0.26645067235217951,0.26559548535650662,0.33828231700259309,2.3752712240253888E-002,-9999.0,-9999.0,-9999.0,-9999.0,0.76424533084379165,0.70609976808202513,0.25020416496470160,-9999.0,-9999.0,-9999.0,-9999.0
107,0.35827636718750000,0.81395388451379880,0.26375156929733773,0.25591146082620808,0.27385000279143085,3.0475718584435513E-002,-9999.0,-9999.0,-9999.0,-9999.0,0.30756494772298659,-0.52299986597615389,0.18444867061691878,-9999.0,-9999.0,-9999.0,-9999.0
127,0.42968750000000000,0.97619000800292044,0.26856659576427683,0.21806750109617754,0.32874578679406491,2.5090769598987379E-002,-9999.0,-9999.0,-9999.0,-9999.0,0.44957482805258814,1.0330060051347298,0.29791674731081469,-9999.0,-9999.0,-9999.0,-9999.0
