 normalised_and_exponentially_binned_(co)spectra
 -----------------------------------------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]_->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 10.000
measuring_height_(z-d)_[m]_=_  1.600
wind_speed_[m+1s-1]_=_  1.319
averaging_interval_[min]_=_     30
number_of_bins_=_  50
tapering_window_=_hamming
 #_freq,natural_frequency,normalized_frequency,f_nat*spec(u)/var(u),f_nat*spec(v)/var(v),f_nat*spec(w)/var(w),f_nat*spec(ts)/var(ts),f_nat*spec(co2)/var(co2),f_nat*spec(h2o)/var(h2o),f_nat*spec(ch4)/var(ch4),f_nat*spec(none)/var(none),f_nat*cospec(w_u)/cov(w_u),f_nat*cospec(w_v)/cov(w_v),f_nat*cospec(w_ts)/cov(w_ts),f_nat*cospec(w_co2)/cov(w_co2),f_nat*cospec(w_h2o)/cov(w_h2o),f_nat*cospec(w_ch4)/cov(w_ch4),f_nat*cospec(w_none)/cov(w_none)
1,6.1035156250000000E-004,7.4042762642425491E-004,8.3639993876050608E-005,3.1093200404220169E-003,2.5600063852159642E-005,2.9245110205030445E-002,-9999.0,-9999.0,-9999.0,-9999.0,-1.9177427128045548E-005,-2.3898753952287396E-003,-3.1107573190185221E-002,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,1.2207031250000000E-003,1.4808552528485098E-003,2.5235582078056385E-003,1.8165174224112597E-003,7.9715588700437362E-005,0.15305104097841263,-9999.0,-9999.0,-9999.0,-9999.0,3.9681678144857998E-004,-1.8625962745155776E-003,2.6047361227773446E-003,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,1.8310546875000000E-003,2.2212828792727646E-003,3.2114297557705733E-003,1.8632773890498199E-003,1.6760561393966116E-003,0.18053269364534741,-9999.0,-9999.0,-9999.0,-9999.0,-7.7572478529261604E-003,1.4474111018750241E-002,-0.37736118938926710,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,2.4414062500000000E-003,2.9617105056970196E-003,3.0558763584489971E-005,1.9539136961776622E-002,9.1897067768955247E-005,6.4060110681620513E-002,-9999.0,-9999.0,-9999.0,-9999.0,2.3373788802470510E-004,-1.0584728306903768E-002,-9.1963884241397856E-002,-9999.0,-9999.0,-9999.0,-9999.0
1,3.0517578125000000E-003,3.7021381321212742E-003,5.1758626164557023E-003,2.5407763154137623E-002,8.5579979503815876E-004,9.8395305182014683E-002,-9999.0,-9999.0,-9999.0,-9999.0,2.3012607920526529E-003,3.6927806734432717E-002,-0.12102741162064365,-9999.0,-9999.0,-9999.0,-9999.0
