 normalised_and_exponentially_binned_(co)spectra
 -----------------------------------------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]_->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 10.000
measuring_height_(z-d)_[m]_=_  1.600
wind_speed_[m+1s-1]_=_  0.319
averaging_interval_[min]_=_     30
number_of_bins_=_  50
tapering_window_=_hamming
 #_freq,natural_frequency,normalized_frequency,f_nat*spec(u)/var(u),f_nat*spec(v)/var(v),f_nat*spec(w)/var(w),f_nat*spec(ts)/var(ts),f_nat*spec(co2)/var(co2),f_nat*spec(h2o)/var(h2o),f_nat*spec(ch4)/var(ch4),f_nat*spec(none)/var(none),f_nat*cospec(w_u)/cov(w_u),f_nat*cospec(w_v)/cov(w_v),f_nat*cospec(w_ts)/cov(w_ts),f_nat*cospec(w_co2)/cov(w_co2),f_nat*cospec(w_h2o)/cov(w_h2o),f_nat*cospec(w_ch4)/cov(w_ch4),f_nat*cospec(w_none)/cov(w_none)
1,6.1035156250000000E-004,3.0632350051763833E-003,3.2814146910004820E-003,1.0635011828304818E-003,2.1696116205545419E-003,0.26793662235079779,-9999.0,-9999.0,-9999.0,-9999.0,1.4363412142242569E-002,1.5793081207931812E-003,9.8640380781072332E-002,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,1.2207031250000000E-003,6.1264700103527666E-003,1.1550121482321045E-003,1.9096728732817710E-004,4.9302694776291612E-003,5.5493408259181407E-002,-9999.0,-9999.0,-9999.0,-9999.0,1.8121984583664770E-002,-6.1843484637578109E-003,5.5278413083420852E-002,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,1.8310546875000000E-003,9.1897050155291503E-003,1.3260301115648359E-003,6.8189565322112429E-004,8.9091873310801541E-005,2.8964601314135915E-002,-9999.0,-9999.0,-9999.0,-9999.0,1.3431746055345554E-003,-5.7720268235091283E-004,-2.2943081964020432E-003,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,2.4414062500000000E-003,1.2252940020705533E-002,1.6778279652110970E-003,4.1593370883224743E-003,5.7006810127122592E-003,1.0113346206248970E-002,-9999.0,-9999.0,-9999.0,-9999.0,9.9311347552203180E-003,3.3059109251125915E-002,-3.0129616045655429E-002,-9999.0,-9999.0,-9999.0,-9999.0
1,3.0517578125000000E-003,1.5316175025881916E-002,1.8865294316890808E-003,6.2406816398083095E-004,1.7456609562163552E-003,1.1454095471070771E-003,-9999.0,-9999.0,-9999.0,-9999.0,5.8440949563179118E-004,-6.6820817723740348E-003,-4.9293570428801678E-003,-9999.0,-9999.0,-9999.0,-9999.0
1,3.6621093750000000E-003,1.8379410031058301E-002,5.7190935933042145E-003,2.4514236106622796E-002,6.7675640695911326E-004,3.2929139140777171E-002,-9999.0,-9999.0,-9999.0,-9999.0,1.0386279379809783E-002,1.8947026884313302E-003,1.7441416542716786E-002,-9999.0,-9999.0,-9999.0,-9999.0
2,4.5776367187500000E-003,2.2974262538822874E-002,4.4949441087958890E-002,5.7709560724984982E-002,3.9997877119748344E-002,6.1328045878111435E-002,-9999.0,-9999.0,-9999.0,-9999.0,0.17106829335608492,0.25293887264011916,0.18554138961632258,-9999.0,-9999.0,-9999.0,-9999.0
1,5.4931640625000000E-003,2.7569115046587447E-002,5.5257391738027802E-002,7.5369759277259085E-002,1.7743071495516096E-002,2.2101077150255471E-002,-9999.0,-9999.0,-9999.0,-9999.0,-0.11244217678423886,0.20253966336605703,3.9714425019799805E-002,-9999.0,-9999.0,-9999.0,-9999.0
2,6.4086914062500000E-003,3.2163967554352024E-002,1.1886764427768330E-002,2.2335142879968128E-002,3.8812498696898221E-002,9.9616825654102702E-003,-9999.0,-9999.0,-9999.0,-9999.0,1.9270332845270983E-002,6.9271636875777462E-002,4.9725252475900768E-002,-9999.0,-9999.0,-9999.0,-9999.0
2,7.6293945312500000E-003,3.8290437564704793E-002,1.0500659129668842E-002,1.2402159690614346E-002,4.4825201101102944E-003,1.0080285612374953E-003,-9999.0,-9999.0,-9999.0,-9999.0,4.9345557491785409E-002,2.3214416225776094E-002,-2.3123742892480910E-003,-9999.0,-9999.0,-9999.0,-9999.0
3,9.1552734375000000E-003,4.5948525077645748E-002,5.1841655192794892E-002,6.2251904638590594E-002,2.4101256854805572E-002,5.5559431582163843E-003,-9999.0,-9999.0,-9999.0,-9999.0,5.2365315896600470E-002,0.12228711116718788,1.2278089025526467E-002,-9999.0,-9999.0,-9999.0,-9999.0
4,1.1291503906250000E-002,5.6669847595763087E-002,4.2417468841399783E-002,2.2076104748612158E-002,4.0502183781964789E-002,1.9126440449234759E-002,-9999.0,-9999.0,-9999.0,-9999.0,2.5351366636834169E-002,5.9090305209156098E-002,7.7579106745579857E-002,-9999.0,-9999.0,-9999.0,-9999.0
4,1.3732910156250000E-002,6.8922787616468625E-002,1.7460531089752585E-002,2.5838640950242495E-002,6.3070933426305570E-002,1.6075148880379888E-002,-9999.0,-9999.0,-9999.0,-9999.0,-2.7022087673747686E-002,-1.2563446105439456E-002,7.0858704612127038E-002,-9999.0,-9999.0,-9999.0,-9999.0
4,1.6174316406250000E-002,8.1175727637174150E-002,4.1707588517093164E-002,5.1757880159001207E-002,4.1079738052210227E-002,1.1633256029114232E-002,-9999.0,-9999.0,-9999.0,-9999.0,0.18746091680185437,1.1441638607274889E-002,1.4634875829666575E-002,-9999.0,-9999.0,-9999.0,-9999.0
6,1.9226074218750000E-002,9.6491902663056073E-002,7.3001091898909701E-002,8.6797383777073106E-002,5.4617478830612638E-002,8.4201595545107255E-003,-9999.0,-9999.0,-9999.0,-9999.0,0.29952454924357930,1.1258815189510831E-005,5.8485103508707718E-002,-9999.0,-9999.0,-9999.0,-9999.0
7,2.3193359375000000E-002,0.11640293019670256,0.10262534377008531,9.6195180785232648E-002,7.7901519112250392E-002,1.0579898681663754E-002,-9999.0,-9999.0,-9999.0,-9999.0,0.38296562981481730,0.24582028911355994,-5.6127255658261332E-003,-9999.0,-9999.0,-9999.0,-9999.0
9,2.8076171875000000E-002,0.14090881023811364,0.13809033222808217,0.12190754116700760,5.0496080408270839E-002,3.0581054190760650E-002,-9999.0,-9999.0,-9999.0,-9999.0,0.25865105414127348,5.1695130228712072E-003,0.10925101967091845,-9999.0,-9999.0,-9999.0,-9999.0
9,3.3569335937500000E-002,0.16847792528470107,7.6532550167000168E-002,0.17994084332059804,0.16143406024334836,1.8728181805853311E-002,-9999.0,-9999.0,-9999.0,-9999.0,-2.9079413813394650E-003,0.51024320159116876,0.12512337157721526,-9999.0,-9999.0,-9999.0,-9999.0
12,3.9978027343750000E-002,0.20064189283905309,8.1283013094170714E-002,0.22740447590612853,0.21896074018494266,2.4518739421746070E-002,-9999.0,-9999.0,-9999.0,-9999.0,0.34416750793859824,0.72015797790997649,0.20642513627673123,-9999.0,-9999.0,-9999.0,-9999.0
15,4.8217773437500000E-002,0.24199556540893427,6.7901934298778902E-002,6.0002237673627258E-002,0.15385861783773666,1.9602422149099043E-002,-9999.0,-9999.0,-9999.0,-9999.0,0.21877638667013766,0.21423122971403580,0.10889377883805521,-9999.0,-9999.0,-9999.0,-9999.0
17,5.7983398437500000E-002,0.29100732549175640,0.11538716847089074,0.15443562199786789,0.27386481998434109,4.3529874564873054E-002,-9999.0,-9999.0,-9999.0,-9999.0,0.64248486259323390,0.13779654620491383,0.35790446491834071,-9999.0,-9999.0,-9999.0,-9999.0
21,6.9580078125000000E-002,0.34920879059010768,0.20264220649820755,0.24616414249866259,0.19832653223777821,3.8363543366139501E-002,-9999.0,-9999.0,-9999.0,-9999.0,0.46820351267804611,0.49618002811335760,0.28078349076210540,-9999.0,-9999.0,-9999.0,-9999.0
25,8.3618164062500000E-002,0.41966319570916449,0.12996463172260994,0.21564943335123840,0.29003879898922441,4.1910987949217098E-002,-9999.0,-9999.0,-9999.0,-9999.0,-3.2754720528751849E-002,0.62073466292370050,0.34591871150070247,-9999.0,-9999.0,-9999.0,-9999.0
29,0.10009765625000000,0.50237054084892685,0.18373418294121469,0.26084162190086746,0.26616455310046061,4.9552312563483254E-002,-9999.0,-9999.0,-9999.0,-9999.0,-0.65518408696283825,0.53755910413047336,0.30854402754282367,-9999.0,-9999.0,-9999.0,-9999.0
36,0.11993408203125000,0.60192567851715928,0.22267636337323560,0.32430917237369677,0.26025603342108583,3.5973439123940236E-002,-9999.0,-9999.0,-9999.0,-9999.0,0.46368208259457966,0.32339004894787765,0.27165819911001055,-9999.0,-9999.0,-9999.0,-9999.0
43,0.14404296875000000,0.72292346122162643,0.19215886172488908,0.28171903874597382,0.18239106899527047,3.7976974246681873E-002,-9999.0,-9999.0,-9999.0,-9999.0,0.39771784190661580,-0.15056029121755296,0.11462226644766070,-9999.0,-9999.0,-9999.0,-9999.0
51,0.17272949218750000,0.86689550646491642,0.28499016791029663,0.17436691502917687,0.24002446719039194,5.2993478473747871E-002,-9999.0,-9999.0,-9999.0,-9999.0,0.79514750522223110,-1.1810627126850276E-002,0.28495534165680547,-9999.0,-9999.0,-9999.0,-9999.0
62,0.20721435546875000,1.0399682842573821,0.36840652212774311,0.19285969888239377,0.34115043503865339,7.0621388944482388E-002,-9999.0,-9999.0,-9999.0,-9999.0,0.42977409520714849,0.16743134950777858,0.38538515023001529,-9999.0,-9999.0,-9999.0,-9999.0
74,0.24871826171875000,1.2482682646093761,0.27589963112820803,0.20590264768438526,0.23822927962818941,6.0665704504405261E-002,-9999.0,-9999.0,-9999.0,-9999.0,-4.3489603279495061E-002,0.24607095246268609,0.28273937500965446,-9999.0,-9999.0,-9999.0,-9999.0
89,0.29846191406250000,1.4979219175312515,0.23130715484644998,0.24329670256132707,0.27978159122630475,6.3532938472647876E-002,-9999.0,-9999.0,-9999.0,-9999.0,0.37077691141164082,-0.10075554206016368,0.32943681410177927,-9999.0,-9999.0,-9999.0,-9999.0
