 normalised_and_exponentially_binned_(co)spectra
 -----------------------------------------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]_->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 10.000
measuring_height_(z-d)_[m]_=_  1.600
wind_speed_[m+1s-1]_=_  1.147
averaging_interval_[min]_=_     30
number_of_bins_=_  50
tapering_window_=_hamming
 #_freq,natural_frequency,normalized_frequency,f_nat*spec(u)/var(u),f_nat*spec(v)/var(v),f_nat*spec(w)/var(w),f_nat*spec(ts)/var(ts),f_nat*spec(co2)/var(co2),f_nat*spec(h2o)/var(h2o),f_nat*spec(ch4)/var(ch4),f_nat*spec(none)/var(none),f_nat*cospec(w_u)/cov(w_u),f_nat*cospec(w_v)/cov(w_v),f_nat*cospec(w_ts)/cov(w_ts),f_nat*cospec(w_co2)/cov(w_co2),f_nat*cospec(w_h2o)/cov(w_h2o),f_nat*cospec(w_ch4)/cov(w_ch4),f_nat*cospec(w_none)/cov(w_none)
1,6.1035156250000000E-004,8.5136515175301443E-004,2.4331896683535423E-003,1.4308185491133637E-003,9.9491426879675022E-004,0.25040564815518601,-9999.0,-9999.0,-9999.0,-9999.0,1.9179778378876809E-003,3.8340943183357115E-005,-9.1808649232596060E-002,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,1.2207031250000000E-003,1.7027303035060289E-003,8.5857669206669662E-003,7.2183615136033811E-004,1.5598564077026079E-003,2.3385597940725504E-003,-9999.0,-9999.0,-9999.0,-9999.0,4.8111634050714835E-003,-3.6212301187879600E-003,-1.1618201144155633E-002,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,1.8310546875000000E-003,2.5540954552590433E-003,9.6536121370099871E-004,3.0523852815252227E-003,1.0129134071394638E-004,4.2987814054452282E-002,-9999.0,-9999.0,-9999.0,-9999.0,-6.8363514689354944E-004,2.1885768064122527E-003,-7.8930092118846846E-003,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,2.4414062500000000E-003,3.4054606070120577E-003,2.7878199364966701E-003,3.5206972763720994E-003,1.6643490149328630E-003,2.4116579128319909E-002,-9999.0,-9999.0,-9999.0,-9999.0,-4.2976145638433721E-003,-2.8966412393997784E-003,-4.3916258521721929E-002,-9999.0,-9999.0,-9999.0,-9999.0
1,3.0517578125000000E-003,4.2568257587650721E-003,6.0057514117919518E-004,2.7277125427764629E-003,6.6216597127004935E-003,2.4792946458273450E-002,-9999.0,-9999.0,-9999.0,-9999.0,-3.2127633598994011E-003,-1.5545465800802398E-002,4.1712722922850061E-002,-9999.0,-9999.0,-9999.0,-9999.0
