 normalised_and_exponentially_binned_(co)spectra
 -----------------------------------------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]_->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 10.000
measuring_height_(z-d)_[m]_=_  1.000
wind_speed_[m+1s-1]_=_  1.834
averaging_interval_[min]_=_     30
number_of_bins_=_  50
tapering_window_=_hamming
 #_freq,natural_frequency,normalized_frequency,f_nat*spec(u)/var(u),f_nat*spec(v)/var(v),f_nat*spec(w)/var(w),f_nat*spec(ts)/var(ts),f_nat*spec(co2)/var(co2),f_nat*spec(h2o)/var(h2o),f_nat*spec(ch4)/var(ch4),f_nat*spec(none)/var(none),f_nat*cospec(w_u)/cov(w_u),f_nat*cospec(w_v)/cov(w_v),f_nat*cospec(w_ts)/cov(w_ts),f_nat*cospec(w_co2)/cov(w_co2),f_nat*cospec(w_h2o)/cov(w_h2o),f_nat*cospec(w_ch4)/cov(w_ch4),f_nat*cospec(w_none)/cov(w_none)
1,6.1035156250000000E-004,3.3276943724178787E-004,3.2024717852983339E-003,2.8337036553878949E-003,2.5267180603689688E-003,0.29371987266691552,-9999.0,-9999.0,-9999.0,-9999.0,1.0913222333766284E-002,9.5375140225015219E-003,1.7336390844432781,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,1.2207031250000000E-003,6.6553887448357575E-004,6.8876946097629422E-003,3.0338923917272815E-003,3.2940468267475941E-003,2.1312497866046665E-002,-9999.0,-9999.0,-9999.0,-9999.0,1.7958856625586238E-002,1.0908830346563796E-002,0.31945366292510874,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,1.8310546875000000E-003,9.9830831172536367E-004,5.5407978114346852E-003,3.3681328858297267E-003,1.8123142563125421E-003,1.5856149311738035E-002,-9999.0,-9999.0,-9999.0,-9999.0,1.2160688430151809E-002,7.7293604637557484E-003,-0.38436637804775869,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,2.4414062500000000E-003,1.3310777489671515E-003,2.4252388625400022E-003,2.3373039238996966E-004,1.6435259278315626E-004,2.6958515132185348E-002,-9999.0,-9999.0,-9999.0,-9999.0,2.0626207129379737E-003,-1.1909181168951394E-004,6.1299304945490629E-002,-9999.0,-9999.0,-9999.0,-9999.0
1,3.0517578125000000E-003,1.6638471862089395E-003,2.2041744355071314E-003,1.7595809301567788E-003,3.0848681592578967E-004,1.5689639383576315E-002,-9999.0,-9999.0,-9999.0,-9999.0,-2.0277547053691291E-004,-2.5270954475023187E-003,7.2441110278792645E-002,-9999.0,-9999.0,-9999.0,-9999.0
1,3.6621093750000000E-003,1.9966166234507273E-003,5.3992647646237601E-003,5.5074116018780561E-004,5.1997605317602143E-004,3.5672223946711060E-004,-9999.0,-9999.0,-9999.0,-9999.0,1.0366477955621662E-004,-1.9119918112131006E-003,3.2751274295367373E-002,-9999.0,-9999.0,-9999.0,-9999.0
