 normalised_and_exponentially_binned_(co)spectra
 -----------------------------------------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]_->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 10.000
measuring_height_(z-d)_[m]_=_  0.400
wind_speed_[m+1s-1]_=_  1.531
averaging_interval_[min]_=_     30
number_of_bins_=_  50
tapering_window_=_hamming
 #_freq,natural_frequency,normalized_frequency,f_nat*spec(u)/var(u),f_nat*spec(v)/var(v),f_nat*spec(w)/var(w),f_nat*spec(ts)/var(ts),f_nat*spec(co2)/var(co2),f_nat*spec(h2o)/var(h2o),f_nat*spec(ch4)/var(ch4),f_nat*spec(none)/var(none),f_nat*cospec(w_u)/cov(w_u),f_nat*cospec(w_v)/cov(w_v),f_nat*cospec(w_ts)/cov(w_ts),f_nat*cospec(w_co2)/cov(w_co2),f_nat*cospec(w_h2o)/cov(w_h2o),f_nat*cospec(w_ch4)/cov(w_ch4),f_nat*cospec(w_none)/cov(w_none)
1,6.1035156250000000E-004,1.5947006773749133E-004,1.9258818619430873E-005,3.6792129472565391E-003,9.9218958350391325E-004,0.48196252038763354,-9999.0,-9999.0,-9999.0,-9999.0,4.6535962628665610E-004,6.6929896960318510E-003,0.31551885907355715,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,1.2207031250000000E-003,3.1894013547498266E-004,4.1548076094542042E-004,2.5205568067654402E-003,7.9975090028746383E-004,0.20419548490187489,-9999.0,-9999.0,-9999.0,-9999.0,9.0971782246123062E-004,-3.1136627772041948E-002,0.10350570685257135,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,1.8310546875000000E-003,4.7841020321247400E-004,2.3277520508877955E-003,2.7064051360411508E-003,1.0502500536150683E-003,6.6736014279945688E-002,-9999.0,-9999.0,-9999.0,-9999.0,4.1740817625377418E-003,-2.3145191559921258E-002,3.8922869258658434E-002,-9999.0,-9999.0,-9999.0,-9999.0
0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
1,2.4414062500000000E-003,6.3788027094996533E-004,4.6445979006370615E-004,1.4163158424530182E-002,5.1717165276983870E-004,3.3434732849292922E-002,-9999.0,-9999.0,-9999.0,-9999.0,2.5409029601545672E-003,5.2827661435016632E-002,-3.0147559779054835E-002,-9999.0,-9999.0,-9999.0,-9999.0
1,3.0517578125000000E-003,7.9735033868745661E-004,1.6056329534568307E-003,1.1362017758373980E-002,5.7044658649979703E-004,4.8497794241662263E-002,-9999.0,-9999.0,-9999.0,-9999.0,3.4404750339261810E-003,5.4888719960133628E-002,6.7615462378254040E-002,-9999.0,-9999.0,-9999.0,-9999.0
1,3.6621093750000000E-003,9.5682040642494799E-004,3.2395571348657610E-003,4.7739629798441665E-004,8.5373327584235079E-003,6.8935138988410870E-003,-9999.0,-9999.0,-9999.0,-9999.0,2.5024382540556514E-002,4.7060577644686373E-002,0.11887859058046485,-9999.0,-9999.0,-9999.0,-9999.0
2,4.5776367187500000E-003,1.1960255080311849E-003,3.0232708920453449E-003,3.9110097332713124E-002,1.0093623948261431E-002,6.1955246981749857E-003,-9999.0,-9999.0,-9999.0,-9999.0,7.1636880723091106E-003,-0.29971558324459052,-4.4773921237608059E-002,-9999.0,-9999.0,-9999.0,-9999.0
1,5.4931640625000000E-003,1.4352306096374219E-003,6.0129317935122741E-003,1.2436343178436702E-002,3.0327352806047939E-002,1.0312176244095791E-002,-9999.0,-9999.0,-9999.0,-9999.0,-1.1450342953471186E-002,-0.41672750939062786,-2.1245111860273166E-002,-9999.0,-9999.0,-9999.0,-9999.0
2,6.4086914062500000E-003,1.6744357112436590E-003,3.7855581633576607E-002,4.1109131611657940E-002,5.8369784336903064E-003,2.6628978321377008E-003,-9999.0,-9999.0,-9999.0,-9999.0,3.8040221149720242E-002,0.16887174647574330,4.3137072061565737E-002,-9999.0,-9999.0,-9999.0,-9999.0
